Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Jours couverts,31,Hypohèse 1 : 15 pirogues FMF dans les sites couverts et 25 dans les strates de Kango,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Année,(Tous),Unnamed: 32,Données enquête cadre,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41
,,,,Mois,(Tous),,Jours actifs,24,Hypothèse 2 : 24 jours de pêche dans le mois,,,,,,Nbre engins actifs,,,,,,,,,,,Engin,(Tous),,,,,,,,
Strate_mineure,(Tous),,,Enginpeche,(Tous),,,,Hypothèse 3 : Le nombre d'échantillons observés ne représente que le 1/5 des débarquements réel,,,,,,,,,,,,,,,,,Mois,(Tous),,Engins identifiées,Nombre,Engin enquêté,,,,
,,,,,,,,,Janvier,,,,,,,,,,,,,,,,,,,,Filet maillant de fond,18,Oui,,,,
Valeurs,,,,Étiquettes de lignes,Nombre de Cpue,Moyenne de Cpue2,,,Nbre débarquement,BAC,Nbre de jour pêche,CPUE,,,,,,kg,,,,,,,,Étiquettes de lignes,Nombre de Cpue (kg/jr),Moyenne de Cpue (kg/jr),Filet maillant de fond/Filet maillant encerclant,1,Oui,,,,
Somme de Banane de Mer,271,,1,2024-06-27 00:00:00,97,81.35189003436427,,1,5,0.16129032258064516,3.870967741935484,58.50666666666666,,Calcul capture total,,,,,,,,,,,,01-janv,9,24.77777777777778,Filet maillant de fond/Nasse,3,Oui,,,,
Somme de Barbillon,7045.8,,2,2024-01-20 00:00:00,52,117.82108974358972,,2,9,0.2903225806451613,6.967741935483872,29.77777777777778,,Nbr echantillion suffisante?,,,,,,,,,,,,02-janv,2,39,Filet maillant dérivant,9,Oui,,,,
Somme de Bars,456225.20000000007,,3,2024-01-27 00:00:00,65,319.83284615384605,,3,10,0.3225806451612903,7.741935483870968,28.73333333333333,,rel erreur CPUE,0.13109884583367715,,,,,,,,,,,03-janv,5,32.1,Filet maillant encerclant,4,Oui,,,,
Somme de Bécune,74543.99999999997,,4,2024-01-25 00:00:00,55,83.59024242424242,,4,7,0.22580645161290322,5.419354838709677,47.52380952380951,,rel erreur Jour de peche,0.047574048728076836,,,,,,,,,,,04-janv,1,89,Ligne de fond,11,Oui,,,,
Somme de Bossu,264210.7000000002,,5,2024-02-10 00:00:00,52,227.74503205128207,,5,2,0.06451612903225806,1.5483870967741935,42.5,,,,,,,,,,,,,,05-janv,1,178,Nasse,12,Oui,,,,
Somme de Capitaine,168529.5609881423,,6,2024-02-21 00:00:00,124,202.19987903225805,,6,9,0.2903225806451613,6.967741935483872,19.111111111111114,,,,,,,,,,,,,,06-janv,3,26.333333333333332,Nasse/Ligne de fond,2,,,,,
Somme de Carangue,16465,,7,2024-03-03 00:00:00,19,153.40026315789473,,7,1,0.03225806451612903,0.7741935483870968,37.5,,CPUE moyenne,31.21717825769909,,,,,,,,,,,07-janv,1,120,Palangre,3,,,,,
Somme de Carpe,1700.5999999999995,,8,2024-02-14 00:00:00,59,137.6881920903955,,8,1,0.03225806451612903,0.7741935483870968,30,,Ecart type moyenne,11.69822228689594,,,,,,,,,,,09-janv,4,59.8125,Total général,63,,,,,
Somme de Ceinture,1931,,9,2024-02-16 00:00:00,143,147.01132867132867,,9,9,0.2903225806451613,6.967741935483872,32.92592592592593,,n CPUE,24,,,Erreur standard,2.387889625045765,,,,,,,10-janv,2,3,,,,,,,
Somme de Crabe,1313.8,,10,2024-01-11 00:00:00,127,177.2051443569554,,10,13,0.41935483870967744,10.064516129032258,22.307692307692314,,Tn-1 CPUE 90%,1.7138715277470482,,,Limite de confiance,4.092536039768511,,,,,,,14-janv,1,150,,,,,,,
Somme de Crevette,89,,11,2024-03-14 00:00:00,52,78.41974358974359,,11,2,0.06451612903225806,1.5483870967741935,10.666666666666666,,,,,,,,,,,,,,15-janv,2,57.25,Données modélisées,,,,,,
Somme de Disque,18245.700000000004,,12,2024-01-15 00:00:00,99,229.1313131313131,,12,4,0.12903225806451613,3.096774193548387,18.166666666666664,,Nbr jour de peche moyenne,24,,,,,,,,,,,16-janv,3,44,,,,,,,
Somme de Divers,17589.4,,13,2024-03-24 00:00:00,6,76.3125,,13,2,0.06451612903225806,1.5483870967741935,22.083333333333336,,Ecart type jour de peche,3.2636885786260277,,,,,,,,,,,17-janv,1,105,Engins identifiées,Commune,Département,,,,
Somme de Dorade Grise,39120.399999999994,,14,2024-01-19 00:00:00,91,105.5029304029304,148.22279640325922,14,4,0.12903225806451613,3.096774193548387,56.33333333333333,,n jour de peche,24,,,,,,,,,,,18-janv,2,88,Filet maillant de fond,15,25,Oui,,,
Somme de Dorade Rose,55134.399999999994,,15,2024-02-09 00:00:00,103,141.09954692556633,,15,8,0.25806451612903225,6.193548387096774,27.437500000000004,,tn-1 jour de peches 90%,1.7138715277470482,,,Erreur standard,0.6661976414152555,,,,,,,19-janv,7,26.571428571428573,Filet maillant dérivant,11,15,Oui,,,
Somme de Langouste,244,,16,2024-01-09 00:00:00,70,179.63690476190476,,16,4,0.12903225806451613,3.096774193548387,32.333333333333336,,Moyenne BAC,0.143010752688172,,,Limite de confiance,1.1417771694738441,,,,,,,20-janv,7,24.857142857142858,Ligne de fond,11,15,Oui,,,
Somme de Machoiron de mer,68577.59999999995,,17,2024-01-16 00:00:00,114,207.452850877193,,17,10,0.3225806451612903,7.741935483870968,31.166666666666664,,,,,,,,,,,,,,21-janv,4,24.5,Nasse,11,43,Oui,,,
Somme de Maquéreau,23794.199999999997,,18,2024-01-21 00:00:00,26,82.86134615384616,,18,10,0.3225806451612903,7.741935483870968,30.099999999999994,,,,,,,,,,,,,,23-janv,3,58.833333333333336,Palangre,4,4,Oui,,,
Somme de Merou,27794,,19,2024-03-19 00:00:00,13,129.10036630036632,,19,2,0.06451612903225806,1.5483870967741935,26.666666666666668,,Effort de pêche (jr),102.96774193548389,,,,,,,,,,,27-janv,1,120,Total général,52,102,,,,
Somme de Mulet,258258.40000000005,,20,2024-02-05 00:00:00,38,223.75438596491227,,20,3,0.0967741935483871,2.32258064516129,20.222222222222218,,,,,,,,,,,,,,28-janv,4,5.5,,,,,,,
Somme de Raie,489.6,,21,2024-03-29 00:00:00,25,106.71786666666667,,21,13,0.41935483870967744,10.064516129032258,32.87179487179487,,,,,,,,,,,,,,29-janv,3,47.166666666666664,,,,,,,
Somme de Requin,,,22,2024-01-26 00:00:00,140,180.3739166666666,,22,3,0.0967741935483871,2.32258064516129,17.77777777777778,,,,,,,,,,,,,,30-janv,3,56,,,,,,,
Somme de Rouge,83590.59999999995,,23,2024-01-13 00:00:00,100,167.90286666666668,,23,1,0.03225806451612903,0.7741935483870968,39.5,,,,,,,,,,,,,,02-févr,4,23.833333333333332,,,,,,,
Somme de Sardine,3594120.5,,24,2024-01-30 00:00:00,54,104.80401234567904,,24,1,0.03225806451612903,0.7741935483870968,35,,,,,,,,,,,,,,03-févr,7,28.928571428571427,Engins identifiées,Filet maillant de fond,Filet maillant dérivant,Ligne de fond,Nasse,Palangre,Total général
Somme de Sole,12742.2,,25,2024-02-13 00:00:00,52,169.84717948717952,,25,,0,0,,,,,,,,,,,,,,,04-févr,1,7.5,Département,25,15,15,43,4,102
Somme de Thon,84507.95999999996,,26,2024-02-25 00:00:00,91,198.46282051282057,,26,,0,0,,,,749.2122781847781,,,,,,,,,,,05-févr,1,4,,,,,,,
Somme de Turbo,17569.199999999997,,27,2024-03-16 00:00:00,13,71.60192307692307,,27,,0,0,,,,,,,,,,,,,,,07-févr,7,36.214285714285715,,,,,,,
,,,28,2024-02-17 00:00:00,113,193.52345132743366,,28,,0,0,,,,,,,,,,,,,,,09-févr,1,79,,,,,,,
,,,29,2024-03-26 00:00:00,14,107.30214285714285,,29,,0,0,,,,,,,,,,,,,,,10-févr,4,93.45833333333333,,,,,,,
,,,30,2024-03-21 00:00:00,40,45.029916666666665,,30,,0,0,,,,,,,,,,,,,,,11-févr,3,44,Engins identifiées,Département,Nbre debarq.,,,,
Somme de Banane de Mer,271,,31,2024-06-29 00:00:00,95,94.40340350877192,,31,,,,,,,,,,,,,,,,,,13-févr,3,17.5,Filet maillant de fond,25,264,,,,
Somme de Barbillon,7045.8,,,2024-06-28 00:00:00,139,94.78267386091126,,,,,,,,,,,,,,,,,,,,14-févr,7,39.07142857142857,Filet maillant dérivant,15,180,,,,
Somme de Bars,456225.20000000007,,,2024-07-04 00:00:00,82,285.9315040650408,,,,,,,,,,,,,,,,,,,,16-févr,1,11,Ligne de fond,15,120,,,,
Somme de Bécune,74543.99999999997,,,2024-08-05 00:00:00,73,273.76826484018267,,,,,,,,Strate_mineure,Engin,Nombre,Nbre jours actifs,Nbre debarq/mois,Nbre debarq/an,,Strate_mineure,Engin,,,,17-févr,1,14.5,Nasse,43,220,,,,
Somme de Bossu,264210.7000000002,,,2024-06-18 00:00:00,110,97.33396969696969,,,,,,,,Aviation,Filet maillant de fond,94,24,8,96,,(Tous),(Tous),,,,18-févr,1,19,Palangre,4,,,,,
Somme de Capitaine,168529.5609881423,,,2024-01-29 00:00:00,91,189.14102564102566,,,,,,,,Aviation,Filet maillant dérivant,10,24,12,144,,Nbre engins,,,,,22-févr,2,39.5,Total général,102,,,,,
Somme de Carangue,16465,,,2024-01-22 00:00:00,29,111.43103448275862,,,,,,,,Aviation,Filet sardine,17,24,24,288,,Jours actifs,,,,,23-févr,4,64.5,,,,,,,
Somme de Carpe,1700.5999999999995,,,2024-06-30 00:00:00,28,129.7014880952381,,,,,,,,Aviation,Ligne de fond,1,24,8,96,,Nbre débarq,,,,,25-févr,3,36.666666666666664,,,,,,,
Somme de Ceinture,1931,,,2024-01-24 00:00:00,31,156.0094086021506,,,,,,,,Libreville,Filet maillant de fond,172,24,12,144,,,,,,,28-févr,7,42.471428571428575,Engins identifiées,,,,,,
Somme de Crabe,1313.8,,,2024-01-23 00:00:00,33,186.47151515151518,,,,,,,,Libreville,Filet maillant dérivant,10,24,24,288,,,,,,,01-mars,3,38.5,Nbre engins actifs,,,,,,
Somme de Crevette,89,,,2024-02-27 00:00:00,67,187.71539800995026,,,,,,,,Libreville,Filet mulet,22,24,24,288,,,,,,,03-mars,1,39,,,,,,,
Somme de Disque,18245.700000000004,,,2024-02-07 00:00:00,45,201.89014814814817,,,,,,,,Libreville,Filet sardine,220,24,24,288,,,,,,,04-mars,5,25.9,,,,,,,
Somme de Divers,17589.4,,,2024-05-30 00:00:00,67,81.33509950248755,,,,,,,,Libreville,Ligne à main,1,24,8,96,,,,,,,06-mars,1,52.5,Année,(Tous),,,,,
Somme de Dorade Grise,39120.399999999994,,,2024-05-24 00:00:00,47,135.93404255319152,,,,,,,,Libreville,Ligne de fond,9,24,8,96,,,,,,,07-mars,1,80,Engin,(Tous),,,,,
Somme de Dorade Rose,55134.399999999994,,,2024-06-15 00:00:00,72,90.61527777777775,,,,,,,,Libreville,Palangre,9,24,8,96,,,,,,,08-mars,1,90,Mois,(Tous),,,,,
Somme de Langouste,244,,,2024-06-14 00:00:00,110,95.30083333333336,,,,,,,,Libreville,Senne tournante,21,24,24,288,,,,,,,10-mars,1,9,,,,,,,
Somme de Machoiron de mer,68577.59999999995,,,2024-01-14 00:00:00,49,115.88863945578231,,,,,,,,Mayumba,Filet maillant de fond,1,24,12,144,,,,,,,11-mars,5,35.7,Étiquettes de lignes,Nombre de Site de débarquement,,,,,
Somme de Maquéreau,23794.199999999997,,,2024-02-08 00:00:00,67,138.60684079601995,,Mois,(Tous),,,,,Owendo,Filet maillant de fond,93,24,12,144,,,,,,,15-mars,4,12.75,Centre des Pêches,493,,,,,
Somme de Merou,27794,,,2024-06-08 00:00:00,97,76.70051546391754,,Enginpeche,(Tous),,,,,Owendo,Filet mulet,8,24,24,288,,,,,,,17-mars,1,19,(vide),,Manquant,,,Sur 50%,
Somme de Mulet,258258.40000000005,,,2024-02-26 00:00:00,50,188.06333333333336,,,,Pirogues observées,,,,Owendo,Filet sardine,9,24,24,288,,,,,,,18-mars,4,9.875,Centre des Pêches,493,,493,,1,
Somme de Raie,489.6,,,2024-02-20 00:00:00,137,208.99961070559613,,Étiquettes de lignes,,555,,,,Owendo,Ligne de fond,12,24,8,96,,,,,,,23-mars,1,40,Débarqu. Total,,,2958,,0.5,
Somme de Requin,0,,,2024-06-22 00:00:00,53,98.82389937106917,1,Abibi 1 OW. 022/02,,,,,,Owendo,Palangre,14,24,8,96,,,,,,,24-mars,3,10,,,,,,,
Somme de Rouge,83590.59999999995,,,2024-02-18 00:00:00,89,180.96913857677905,2,Abla afko L.197/90,,,,,,,,,,,,,,,,,,28-mars,6,31.888888888888886,,0.5,,,,,
Somme de Sardine,3594120.5,,,2024-08-08 00:00:00,149,142.51862416107383,3,Abla fisherman L. 009/95,,,,,,,,723,,,,,,,,,,30-mars,10,16.066666666666666,,,,,,,
Somme de Sole,12742.2,,,2024-08-14 00:00:00,42,157.4801587301587,4,Abla L. 019/97,,,,,,,,,,,,,,,,,,01-avr,3,31.583333333333332,,,,,,,
Somme de Thon,84507.95999999996,,,2024-08-16 00:00:00,51,160.30261437908496,5,Ade L. 114/02,,,,,,,,,,,,,,,,,,04-avr,2,28.5,,,,,,,
Somme de Turbo,17569.199999999997,,,2024-06-07 00:00:00,153,87.6228213507625,6,Adehin OW. 126/20,,,,,,Pirogues observées,Pirogues actives,Coef,Pirogues estimées,Coef2,,,,,,,,06-avr,1,78,,,,,,,
,,,,2024-02-04 00:00:00,22,101.55962121212123,7,Ademola KG. 042/14,,,,,,555,,,,,,,,,,,,07-avr,3,22,,,,,,,
,5294103.820988143,,,2024-08-09 00:00:00,145,129.3937931034483,8,Adjoua OW. 067/08,,,,,,,,,,,,,,,,,,08-avr,7,23.166666666666668,,,,,,,
,,,,2024-08-15 00:00:00,73,129.75045662100456,9,Agbo Ola KG. 036/14,,,,,,Effort estimé,,,,,,,,,,,,09-avr,7,30.833333333333336,,,,,,,
,,,,2024-01-31 00:00:00,36,75.89375,10,Agnin L. 131/96,,,,,,Echantillons couverts,2142,,,,,,,,,,,10-avr,1,50,,,,,,,
,,,,2024-02-29 00:00:00,71,55.412441314553966,11,Aime OW. 265/06,,,,,,Débarquements prévus,,,,,,,,,,,,11-avr,3,23.88888888888889,,,,,,,
Banane de Mer,5.1189022573686126e-05,,,2024-02-28 00:00:00,109,191.55129969418957,12,Air Gabon OW. 323/06,,,,,,Taux couverture,,,,,,,,,,,,12-avr,8,39.270833333333336,,,,,,,
Barbillon,0.0013308768090394012,,,2024-08-23 00:00:00,34,68.85588235294118,13,Akewa L. 046/00,,,,,,,,,,,,,,,,,,13-avr,8,35.25,,,,,,,
Bars,0.08617609616783937,,,2024-05-23 00:00:00,33,126.19737373737374,14,Alade 2 OW. 049/18,,,,,,Estimation max,Capture (Tonnes),Effort (jr),Valeur (.000 f.cfa),,,,,,,,,14-avr,8,32.1875,,,,,,,
Bécune,0.014080570106025302,,,2024-02-22 00:00:00,125,282.55138666666664,15,Alix OW. 336/10,,,,,,Aviation,1152.1165525426136,4201.059651462554,,274.24427361832784,,,,,,,,18-avr,4,11.75,,,,,,,
Bossu,0.04990659589117868,,,2024-05-21 00:00:00,60,164.90416666666667,16,Americain OW. 010/02,,,,,,Libreville,16341.404263261753,28682.07566321921,,569.742736025808,,,,,,,,19-avr,3,36.88888888888889,,,,,,,
Capitaine,0.03183344465592409,,,2024-02-15 00:00:00,135,146.92990123456784,17,Amoussogbbo L. 047/94,,,,,,Owendo,158.09275085034014,885.1774891774892,,178.60005793554535,,,,,,,,20-avr,6,38.916666666666664,,,,,,,
Carangue,0.003110063677770266,,,2024-05-31 00:00:00,31,92.93709677419355,18,Anaya,,,,,,Total,17651.61356665471,33768.312803859255,,522.7271397651047,,,,,,,,21-avr,5,33.8,,,,,,,
Carpe,0.00032122528335354464,,,2024-08-10 00:00:00,160,110.76098958333333,19,Andrew L. 280/99,,,,,,,,,,,,,,,,,,22-avr,4,42.5,,,,,,,
Ceinture,0.00036474539701028747,,,2024-08-22 00:00:00,49,97.55238095238096,20,Angonavai OW. 099/19,,,,,,,,,,,,,,,,,,25-avr,5,38.5,,,,,,,
Crabe,0.0002481628703221728,,,2024-07-30 00:00:00,89,108.24213483146066,21,Aniambie Akewa OW. 098/19,,,,,,,,,,,,,,,,,,26-avr,8,32.125,,,,,,,
Crevette,1.681115501497441e-05,,,2024-07-23 00:00:00,67,140.57611940298509,22,Aniola OW. 202/01,,,,,,,,,,,,,,,,,,27-avr,12,20.88888888888889,,,,,,,
Disque,0.003446419000637288,,,2024-07-17 00:00:00,101,159.91069306930692,23,Anna L. 250/07,,,,,,Estimation min,Capture (Tonnes),Effort (jr),Valeur (.000 f.cfa),,,,,,,,,28-avr,4,22.5,,,,,,,
Divers,0.0033224508991055155,,,2024-07-07 00:00:00,18,70.19166666666666,24,Anu Oluwa L. 017/96,,,,,,Aviation,865.4386361607707,4970.03863497027,,174.131168734053,,,,,,,,29-avr,2,2.5,,,,,,,
Dorade Grise,0.007389428187053986,,,2024-07-29 00:00:00,64,164.39114583333333,25,APG CC. 345/12,,,,,,Libreville,11368.585182734001,17467.40838329783,,650.8455595281401,,,,,,,,01-mai,2,62,,,,,,,
Dorade Rose,0.010414302753456235,,,2024-07-22 00:00:00,50,191.10066666666668,26,Atiritara 2 CC. 201/08,,,,,,Owendo,683.0730067246584,3078.258170235836,,221.9024425337027,,,,,,,,02-mai,6,33.46111111111111,,,,,,,
Langouste,4.608900925453658e-05,,,2024-07-15 00:00:00,68,395.2001470588235,27,Avallou OW. 128/20,,,,,,Total,12917.09682561943,25515.705188503936,,506.24102803316634,,,,,,,,04-mai,7,38,,,,,,,
Machoiron de mer,0.012953580496122564,,,2024-07-28 00:00:00,19,196.51228070175438,28,Ayenu CC. 143/06,,,,,,,,,,,,,,,,,,05-mai,9,30.259259259259263,,,,,,,
